"fuente";"columna";"valores_distintos_en_fuente";"valor";"observaciones"
EMICRON;ADJUSTMENT;1;N;944667
EXPORTACIONES;ADJUSTMENT;1;N;90130
GEIH;ADJUSTMENT;1;N;4952594
EMICRON;AGE;1;_T;944667
EXPORTACIONES;AGE;1;_T;90130
GEIH;AGE;1;_T;4952594
EMICRON;AREA;25;"05";11939
GEIH;AREA;35;"05";132684
EMICRON;AREA;25;"08";11941
GEIH;AREA;35;"08";128653
EMICRON;AREA;25;"11";11939
GEIH;AREA;35;"11";131658
EMICRON;AREA;25;"13";11934
GEIH;AREA;35;"13";127463
EMICRON;AREA;25;"15";11942
GEIH;AREA;35;"15";124566
EMICRON;AREA;25;"17";11952
GEIH;AREA;35;"17";130560
EMICRON;AREA;25;"18";11944
GEIH;AREA;35;"18";123110
EMICRON;AREA;25;"19";11939
GEIH;AREA;35;"19";125215
EMICRON;AREA;25;"20";11943
GEIH;AREA;35;"20";124454
EMICRON;AREA;25;"23";11929
GEIH;AREA;35;"23";123476
GEIH;AREA;35;"25";4568
EMICRON;AREA;25;"27";11777
GEIH;AREA;35;"27";121663
EMICRON;AREA;25;"41";11949
GEIH;AREA;35;"41";126005
EMICRON;AREA;25;"44";11913
GEIH;AREA;35;"44";124254
EMICRON;AREA;25;"47";11943
GEIH;AREA;35;"47";126535
EMICRON;AREA;25;"50";11953
GEIH;AREA;35;"50";126688
EMICRON;AREA;25;"52";11947
GEIH;AREA;35;"52";126539
EMICRON;AREA;25;"54";11943
GEIH;AREA;35;"54";125567
EMICRON;AREA;25;"63";11950
GEIH;AREA;35;"63";126278
EMICRON;AREA;25;"66";11945
GEIH;AREA;35;"66";129490
EMICRON;AREA;25;"68";11937
GEIH;AREA;35;"68";128583
EMICRON;AREA;25;"70";11880
GEIH;AREA;35;"70";123788
EMICRON;AREA;25;"73";11945
GEIH;AREA;35;"73";125058
EMICRON;AREA;25;"76";11946
GEIH;AREA;35;"76";130987
GEIH;AREA;35;"81";71264
GEIH;AREA;35;"85";73508
GEIH;AREA;35;"86";69996
EMICRON;AREA;25;"88";11922
GEIH;AREA;35;"88";117924
GEIH;AREA;35;"91";70016
GEIH;AREA;35;"94";69688
GEIH;AREA;35;"95";71963
GEIH;AREA;35;"97";70630
GEIH;AREA;35;"99";69749
GEIH;AREA;35;REST;143376
EMICRON;AREA;25;_T;658315
EXPORTACIONES;AREA;1;_T;90130
GEIH;AREA;35;_T;1206638
EXPORTACIONES;CATEGORY;341;"0";8
GEIH;CATEGORY;599;"0";1856
EMICRON;CATEGORY;194;"01";5484
EXPORTACIONES;CATEGORY;341;"01";372
EMICRON;CATEGORY;194;"02";5484
EXPORTACIONES;CATEGORY;341;"02";372
EMICRON;CATEGORY;194;"03";5484
EXPORTACIONES;CATEGORY;341;"03";372
EMICRON;CATEGORY;194;"04";5484
EMICRON;CATEGORY;194;"05";2742
EXPORTACIONES;CATEGORY;341;"05";372
EMICRON;CATEGORY;194;"06";2742
EXPORTACIONES;CATEGORY;341;"06";372
EMICRON;CATEGORY;194;"07";2742
EXPORTACIONES;CATEGORY;341;"07";364
EMICRON;CATEGORY;194;"08";2742
EXPORTACIONES;CATEGORY;341;"08";372
EMICRON;CATEGORY;194;"09";2742
EXPORTACIONES;CATEGORY;341;"1";576
GEIH;CATEGORY;599;"1";106180
EMICRON;CATEGORY;194;"10";2742
EXPORTACIONES;CATEGORY;341;"10";648
GEIH;CATEGORY;599;"10";5930
EXPORTACIONES;CATEGORY;341;"104";372
EXPORTACIONES;CATEGORY;341;"106";10
EXPORTACIONES;CATEGORY;341;"107";370
GEIH;CATEGORY;599;"1081";5
EMICRON;CATEGORY;194;"10_MAS";2742
EMICRON;CATEGORY;194;"11";2742
EXPORTACIONES;CATEGORY;341;"11";372
GEIH;CATEGORY;599;"11";9527
GEIH;CATEGORY;599;"110";475
GEIH;CATEGORY;599;"1111";702
GEIH;CATEGORY;599;"1112";1298
GEIH;CATEGORY;599;"1113";74
GEIH;CATEGORY;599;"1114";561
GEIH;CATEGORY;599;"1120";1987
EMICRON;CATEGORY;194;"12";2742
EXPORTACIONES;CATEGORY;341;"12";370
GEIH;CATEGORY;599;"12";5439
GEIH;CATEGORY;599;"1211";1239
GEIH;CATEGORY;599;"1212";2137
GEIH;CATEGORY;599;"1213";490
GEIH;CATEGORY;599;"1219";1020
GEIH;CATEGORY;599;"1221";1608
GEIH;CATEGORY;599;"1222";413
GEIH;CATEGORY;599;"1223";456
EXPORTACIONES;CATEGORY;341;"13";372
GEIH;CATEGORY;599;"13";9117
GEIH;CATEGORY;599;"1311";1473
GEIH;CATEGORY;599;"1312";108
GEIH;CATEGORY;599;"1321";1508
GEIH;CATEGORY;599;"1322";352
GEIH;CATEGORY;599;"1323";749
GEIH;CATEGORY;599;"1324";1488
GEIH;CATEGORY;599;"1330";782
GEIH;CATEGORY;599;"1341";196
